,names,links,description
523,Methylpropanediol,https://incidecoder.com//ingredients/methylpropanediol,Its a type of glycol that according to the manufacturer is an extremely good replacement for other glycols like propylene or butylene glycol Its main job is to be a solvent but it has also very good antimicrobial properties and acts as a true preservative booster Also helps with skin hydration without stickiness or tacky feel
524,Mica,https://incidecoder.com//ingredients/mica,"A super versatile and common mineral powder that comes in different particle sizes It is a multitasker used to improve skin feel increase product slip give the product lightreflecting properties enhance skin adhesion or serve as an anticaking agent
It is also the most commonly used base material for layered composite pigments such as pearleffect pigments In this case mica is coated with one or more metal oxides most commonly titanium dioxide to achieve pearl effect via the physical phenomenon known as interference"
525,Microcitrus Australasica Fruit Extract,https://incidecoder.com//ingredients/microcitrus-australasica-fruit-extract,This is a cool looking fruit coming from the Australian subtropical rainforests Caviar lime really is the perfect name for it You have to click here and look at it As for skincare we could not find too much info about it but this manufacturer claims that its a source of AHAs and can gently exfoliate the skin for a smoother brighter and even skin complexion
526,Microcrystalline Cellulose,https://incidecoder.com//ingredients/microcrystalline-cellulose,"Cellulose is an important component of the cell walls of green plants and its the most abundant natural polymer big molecule from repeated subunits on Earth If the polymer structure is not too big less than 200 repeated units cellulose becomes microcrystalline cellulose
In skin care it comes as a fine or less fine white powder The less fine bigger particle size version is used as a gentle scrubbing agent a nice natural biodegradable alternative to now banned plastic polyethylene and the ultra fine version is used as a helper ingredient that gives a supersilky soft touch reduces tackiness or greasiness and can also be used as a mattifying agent
Combined with Cellulose Gum it also works as a nice gelling agent"
527,Montmorillonite,https://incidecoder.com//ingredients/montmorillonite,A type of clay that was originally found next to the French village Montmorillon Nowadays Montmorillonite is used almost like a synonym for the most common type of clay bentonite Technically bentonite is montmorillonite and additional crystalline structures or to put it another way montmorillonite is 100 clean bentonite As for montmorillonite in skincare products its used for its magic absorbent properties Its excellent at instantly sucking up sebum and gunk from the skin and it might even be helpful in treating some rashes or skin irritations contact dermatitis But be careful it can also be drying
528,Moringa Oleifera Seed Oil,https://incidecoder.com//ingredients/moringa-oleifera-seed-oil,The oil coming from the seeds of the Moringa tree a big whiteflowered tree native to India Its a yellow oil similar to olive oil Its rich in nourishing and moisturizing fatty acid oleic 75 and also contains behenic acid up to 8 that makes moringa very stable and gives the oil a long shelf life It blends easily with essential oils and can also help to stabilize scents so its a popular oil in the perfume industry
529,Mu-Conotoxin Cniiic,https://incidecoder.com//ingredients/mu-conotoxin-cniiic,Though its name does not reveal it MuConotoxin Cniiic is a 22 amino acid peptide molecule that belongs to the Botoxinajar type of topical muscle relaxers If you are new to these types of molecules we wrote more about it at ArgirelineIt is a biomimetic peptide meaning that it tries to copy the behavior of the natural peptide found in the venomous marine cone snail called Conus consors Biologically speaking the molecule acts as a modulator of the neuromuscular transmission that translates to being an instant line relaxer when it comes to cosmetics According to the manufacturers invivo made on people study a single application with 3 XEP018 on 33 people results in a visible and significant reduction of wrinkle depth and rugosity 2 hours after application Sounds pretty good
530,Myristic Acid,https://incidecoder.com//ingredients/myristic-acid,A 14 carbon length fatty acid that can be naturally found in nutmeg palm kernel oil coconut oil and butter fat Its used as a foam building cleansing agent Paula Begoun writes that it can be a bit drying to the skin
531,Myristoyl Hexapeptide-16,https://incidecoder.com//ingredients/myristoyl-hexapeptide-16,A six amino acid peptide LeuLysLysThrGluThr attached to the oilsoluble fatty acid myristic acid for better bioavailability It is known to significantly stimulate keratin genes i e it can convince the cells to produce more keratin the super important structural protein in hair nails and the outermost layer of the skinMost often you will meet Myristoyl Hexapeptide16 combined with Myristoyl Pentapeptide17 in eyelash growth products as the two together can visibly increase eyelash length after two weeks
532,Myristoyl Nonapeptide-3,https://incidecoder.com//ingredients/myristoyl-nonapeptide-3,"A newish peptide with the promise of mimicking the effects of the skincare superstar retinol vitamin A but without its negative side effects Similar to retinol Myristoyl Nonapeptide3 is claimed to increase cell turnover and to promote the synthesis of collagen but without skin irritation or stinging To back up its claim the German manufacturer did a socalled gene array screening test where they examined the effect of the molecule on 96 skinrelated genes They did screening for both retinoic acid the active form of retinol and our guy Myristoyl Nonapeptide3 They found that retinoic acid upregulates 21 of the 92 studied genes and amongst those 16 genes are also upregulated by Myristoyl Nonapeptide3 So they trade named the molecule as Retinopeptide 189 as in a peptide that mimics the effects of retinoic acid To further prove their point Symrise the manufacturer went ahead and did some exvivo testing meaning testing on human skin explants They compared a 01 retinoic acid solution with 5 and 10 Retinopeptide 189 cream and found that the 10 cream induces a significant increase 43 in collagen1 that is comparable to the effect of 01 retinoic acid which performed even better with more than a 50 increase They also found that both retinoic acid 01 and Retinopeptide 189 5 cream increased epidermal cellular layers in the skin explants showing that both ingredients can increase cell turnover however retinoic acid did significantly better both in active effects as well as side effects
Unfortunately there are currently no invivo test results at least with could not find any so if you prefer the tried and true stick with retinol However if you are the adventurous type or if your skin is sensitive and cannot tolerate retinoids Myristoyl Nonapeptide3 is a promising alternative"
533,Myristoyl Pentapeptide-17,https://incidecoder.com//ingredients/myristoyl-pentapeptide-17,A five amino acid peptide LysLeuAlaLysLys attached to the oilsoluble fatty acid myristic acid for better bioavailability It is known to significantly stimulate keratin genes i e it can convince the cells to produce more keratin the super important structural protein in hair nails and the outermost layer of the skinMost often you will meet Myristoyl Pentapeptide17 combined with Myristoyl Hexapeptide16 in eyelash growth products as the two together can visibly increase eyelash length after two weeks
534,Myristyl Malate Phosphonic Acid,https://incidecoder.com//ingredients/myristyl-malate-phosphonic-acid,"Myristyl Malate Phosphonic Acid let’s call it MMPA is a synthetic phospholipid You may have heard of phospholipids in your biology class since they’re a main component in human cell membranes Because of this it makes sense that cosmetic companies want to try making some similar molecules for skin care our skin is made of cells after all So MMPA is the main advertised component of the complex trade named Revidrate which the manufacturer claims will act on the outer layers of the skin to promote the activity of natural moisturizing factors This is basically to say that MMPA helps your skin hydrate itself It is said to do this through promoting some complex pathways within your cells that help mature keratinocytes the cells in the outer layer of the skin A 38person clinical study was conducted by the company to substantiate these claims that showed promising moisturization results after 2 months of using a cream twice a day with 3 Revidrate
All in all MMPA seems like a promising goodie and there is no reason not to try it especially if it’s included in a formulation with other proven ingredients"
535,Myristyl Myristate,https://incidecoder.com//ingredients/myristyl-myristate,Its a waxy emollient with a melting point near to skin temperature It gives body and consistency to the formula and leaves a velvety feel on the skin It has a high comedogenicity index 5 out of 5 so it might clog pores if you are prone to it Famous dermatologist Dr Leslie Baumann also writes in her book The Skin Type Solution to avoid this ingredient if you are acneprone
536,Myristyl Nicotinate,https://incidecoder.com//ingredients/myristyl-nicotinate,Myristyl Nicotinate MN might not sound familiar but Niacinamide probably does If it does not click here to catch up Our molecule is an oilsoluble derivative of skincare superstar niacinamide that was developed to deliver nicotinic acid to the skin without causing flushing tiny amounts of the acid form of niacinamide cause skin flushing but otherwise it is a skin goodie similar to nia And research shows that Myristyl Nicotinate delivers It is a stable and welltolerated molecule that is known to enhance epidermal differentiation and skin barrier function It is also a nice addition to retinoic acid therapy to reduce the side effects such as flaking and irritation
537,Myrtus Communis Extract,https://incidecoder.com//ingredients/myrtus-communis-extract,Myrtle is a nice evergreen shrub thats native to the Mediterranian region When it comes to skincare it seems to have some pros and cons On the pro side it has antimicrobial and antioxidant properties works as an astringent and might be useful for acneprone skin On the con side it contains essential oils and other notsonice components like 18cineole linalool eugenol that can be a skin irritant and might be worth avoiding if your skin is sensitive If you wanna know everything about this plant you can read this microbiological reasearch paper about it
538,N-Butyl Alcohol,https://incidecoder.com//ingredients/n-butyl-alcohol,A clear colorless liquid with a winelike odor It is usually used in tiny amounts as an aromatic and flavor ingredient
539,Neopentyl Glycol Dicaprylate/​Dicaprate,https://incidecoder.com//ingredients/neopentyl-glycol-dicaprylate-dicaprate,"An emollient ester basically an oil like liquid with a light elegant and silky feel It gives a matte finish to the products
It often comes together with two other esters called Tridecyl Stearate and Tridecyl Trimellitate as the three of them can be blended so that they mimic very closely the aesthetic and textural properties of controversial but nice feeling mineral oil"
540,Neopentyl Glycol Diheptanoate,https://incidecoder.com//ingredients/neopentyl-glycol-diheptanoate,A clear odorless very light emollient ester that helps to achieve light textures It has great spreadability a good slip and a silky skin feel Its ideal to solubilize sunscreen agents and fragrances Its also touted as a volatile evaporates from the skin rather than absorbs into it silicone alternative especially to replace Cyclomethicone mixes
541,Niacinamide,https://incidecoder.com//ingredients/niacinamide,"A multifunctional skincare superstar with several proven benefits for the skin Great antiaging wrinkle smoothing ingredient used at 45 concentration Fades brown spots alone or in combination with amino sugar acetyl glucosamine Increases ceramide synthesis that results in a stronger healthier skin barrier and better skin hydration Can help to improve several skin conditions including acne rosacea and atopic dermatitis Niacinamide or as us normal people call it vitamin B3 is a real skincare superstar that has had so many studies and has so many skin benefits that we have to warn you that this geeky details description will not be short Just as an intro a couple of thing about the stuff itself its a watersoluble vitamin that usually comes in white powder form It is odorless and has a salty bitter taste It can be found in meat fish wheat and small amounts in vegetables The version used in cosmetics is produced exclusively synthetically
Lets look at all those skin benefits
1 Antiaging wrinklesmoothing properties With age our skin tends to slow down in many ways One of them is in producing important proteins such as keratin filaggrin and involucrin at a slower rate Reduced amounts of these proteins results in poorer skin structure reduced skin elasticity and more wrinkles Studies show that niacinamide can boost collagen production as well as the production of these three important proteins That means improved skin structure and fewer wrinkles FYI antiaging studies usually use 45 niacinamide daily for 812 weeks so if you are after the antiaging benefits try to choose a product that tells you the exact percentage of niacinamide it contains 2 Skinlightening properties Hyperpigmentation or brown spots are really stubborn and honestly it can be really hard to make them disappear just by topical products What you can expect for them is to fade a little and niacinamide is a great ingredient to help with that Studies show that 25 niacinamide used daily for 8 weeks results in significant lightening of hyperpigmentation When combined with amino sugar acetyl glucosamine the results are even better
Whats more niacinamide as a skin lightener works in a way different to most others It suppresses the transfer of melanosomes little spheres carrying the melanin pigment from melanocytes skin cells producing the melanin to keratinocytes skin cells in the top layer of the skin while most other skin lighteners block an enzyme called tyrosinase that plays an important role in melanin production So if you want to mount a multifront attack on the brown spots you can combine a niacinamide treatment with tyrosinase inhibitors like vitamin C arbutin or kojic acid
3 Barrier repair functions the skin barrier is the outer layer of the skin that is amazingly important at keeping the skin hydrated and healthy The stuff between the skin cells consists mainly of free fatty acids cholesterol and ceramides The amount and structure of these determine how healthy the skin barrier is What studies have shown is that 2 niacinamide can increase the synthesis of free fatty acids cholesterol and ceramides that result in healthier and stronger skin barrier decreased transepidermal water loss and better hydrated skin
4 Antiacne properties though niacinamide does not count as one of the gold standard antiacne ingredients if you have problem skin its totally worth a try It has sebum regulating and antiinflammatory properties and a study that used 4 niacinamide for 8 weeks to treat acne found that 82 of those treated showed some improvement Whats more the results were slightly better than with a 1 clindamycin gel an antibiotics often used to treat acne
5 Other notable things if the above four things are not enough to convince you about niacinamide here are some more reasons Studies show that vitamin B3 can help to speed up epidermal cell growth that slows down with age it can help with wound healing it can smooth the structure of the skin and it has also antibacterial and photo protective properties Plus it might also be useful for rosacea and atopic dermatitis probably because of its antiinflammatory property Well that was long Hope we could convince you that niacinamide is a skincare superstar and a musttry for pretty much everybody"
542,Nigella Sativa Seed Oil,https://incidecoder.com//ingredients/nigella-sativa-seed-oil,The fixed or nonvolatile oil coming from the black seeds of Nigella Sativa a smallish 2030 cm flowering plant native to Southwest Asia The seed has a very complex chemical composition it contains both fixed and volatile oil and is used traditionally for a bunch of antisomething abilities including antitumor antidiabetic antihistaminic antiinflammatory and antimicrobial properties In Islam black cumin seed was considered a healing seed for all diseases except death” As for modern research and chemical composition the fixed oil from the seeds is rich in skinnourishing unsaturated fatty acids mainly linoleic acid at 50 – 60 and oleic acid at 20 but also contains some rare ones like C202 arachidic and eicosadienoic acids amino acids vitamins and minerals A component called thymoquinone its the main component of the volatile oil part but the fixed oil also contains some is considered to give the seed its main therapeutic properties including strong antioxidant and antiinflammatory abilities As for black seed oil and cosmetics the oil is great to nourish and moisturize the skin and is highly recommended to treat inflammatory skin diseases like psoriasis and eczema
543,Nylon-12,https://incidecoder.com//ingredients/nylon-12,An odorless slightly yellowish powder thats used as a polymer microsphere a tiny little ball from repeated subunits It gives products an elegant silky texture and better slip It can also scatter light to blur fine lines while letting enough light through so that the skin still looks natural
544,Octocrylene,https://incidecoder.com//ingredients/octocrylene,An oilsoluble chemical sunscreen agent that protects skin in the UVB and somewhat in the UVA II range with a peak absorption of 304 nm Its protection is not strong enough on its own but it is quite photostable loses 10 of SPF protection in 95 mins and is often used to stabilize other photounstable UVfilters for example Avobenzone It is also often used to improve the water resistance of the products Octocrylenes safety profile is generally quite good though a review study in Contact Dermatitis reports an increasing number of patients with photo contact allergy to octocrylene Mainly adults with ketoprofensensitivity and children with sensitive skin are affected so if you have a small kid it is probably better to use octocrylenefree sunscreens
545,Octyldodecanol,https://incidecoder.com//ingredients/octyldodecanol,A clear slightly yellow odorless oil thats a very common mediumspreading emollient It makes the skin feel nice and smooth and works in a wide range of formulas
546,Oenothera Biennis Oil,https://incidecoder.com//ingredients/oenothera-biennis-oil,"The oil coming from the seeds of the nice little yellowflowered plant called Evening Primrose Similar to other plant oils its loaded with nourishing and moisturizing fatty acids Its a very rich source of linoleic acid 6676 and also contains the soothing and healing superstar fatty acid gammalinolenic acid aka GLA 712 Btw the richest known source of GLA is the borage oil but evening primrose still counts as a very good source of it It also contains oleic acid but not too much around 615
Since the 1980s EPO is a wellknown food supplement and there are quite a lot of studies examining what happens if you take it orally It seems to be helpful with a bunch of things atopic dermatitis dry eyes brittle nails sunburn and even acne
As for the skin its a great hydrating plant oil that can also reduce inflammation and irritation Its a superb healing agent that can truly help dry skin not just on the surface by covering it and not letting water to evaporate but by initiating structural changes within the skin If thats not enough it also helps skin cell regeneration All in all a real goodie especially for dry easily irritated skin"
547,Ogliopeptide-78,https://incidecoder.com//ingredients/ogliopeptide-78,"A synthetic peptide containing 11 amino acids consisting of alanine glutamine glycine isoleucine lysine proline and valine Its part of an active peptide complex called Renaissance that is supposed to increase skin compactness and firmness
You can read more about Renaissance at Zinc Palmitoyl Nonapeptide14"
548,Olea Europaea Fruit Oil,https://incidecoder.com//ingredients/olea-europaea-fruit-oil,You probably know olive oil from the kitchen as a great and healthy option for salad dressing but its also a great and healthy option to moisturize and nourish the skin especially if its on the dry side Similar to other emollient plant oils its loaded with nourishing fatty acids oleic is the main component 5583 and also contains linoleic 3520 and palmitic acids 720 It also contains antioxidant polyphenols tocopherols types of vitamin E and carotenoids and its one of the best plant sources of skinidentical emollient Squalene Overall a great option for dry skin but less so for acneprone or damaged skin
549,Oleic Acid,https://incidecoder.com//ingredients/oleic-acid,"A common fatty acid that can be found in lots of plant oils Its name oleic means derived from olive oil a plant oil rich in oleic acid but avocado macadamia and marula oils just to name a few are also oleic rich
Its chemical structure is monounsaturated meaning it has one double bond cis9 that makes it less kinky than polyunsaturated fatty acids with multiple double bonds Less kinkiness means that oleic acid and OArich oils are a bit thicker and heavier than their LArich siblings
Maybe this thickness is the reason that Oleic acid is considered comedogenic and if you have acneprone skin avoid OArich plant oils and choose linoleic acidrich versions instead
The thickness of OA also means that OArich oils are considered more nourishing and moisturizing than their LArich counterparts and are generally considered to be more suitable for dry mature skin types As for oleic acid in its free form and by free we mean that it is not bound up in a triglyceride structure like it is in oils it mostly serves as an emulsifier or emulsion stabilizer in small amounts in regular cosmetic products It is also quite well researched and is used in the pharmaceutical industry as a penetration enhancer"
550,Oleic/​Linoleic/​Linolenic Polyglycerides,https://incidecoder.com//ingredients/oleic-linoleic-linolenic-polyglycerides,A polyglyceride created from sunflower oil using green Ecocert approved technology Oils are mostly made up of triglyceride molecules a glycerin and three fatty acids attached to it So this guy is like a modified oil where the manufacturer changed up the fatty acids attached to the glycerin Thanks to carefully selecting and arranging the fatty acids the manufacturer claims that it had created an active ingredient thats not simply an emollient but a waterbinding and skinplumping active ingredient Its also great in lip care formulas as it has high gloss and excellent stick
551,Oleth-10,https://incidecoder.com//ingredients/oleth-10,A useful ingredient that helps water and oil to mix nicely together emulsifier It has a liquidepasty texture and is recommended for skincare haircare and shaving products
552,Oleth-3 Phosphate,https://incidecoder.com//ingredients/oleth-3-phosphate,A partly water partly oil soluble molecule created by the attachment of ethoxylated oleyl alcohol oilsoluble part and phosphoric acid watersoluble part It works as an emulsifier helping water and oil to mix and as a dispersing agent helping insoluble solid particles such as mineral UV filters or pigments to be evenly dispersed in cosmetic formulas
553,Oleyl Erucate,https://incidecoder.com//ingredients/oleyl-erucate,A vegetablebased emollient ester oleyl alcohol erucic acid that makes your skin feel nice and smooth It has a rich and caring skin feel very similar to jojoba oil
554,Oligopeptide-68,https://incidecoder.com//ingredients/oligopeptide-68,A skinbrightening peptide that is claimed to have a unique mechanism of action on lightening both constitutive our default skin color and facultative such as tanning pigmentation It works by inhibiting the MITF gene that plays an important role in controlling melanin producing skin cells called melanocytesIn the invivo made on real people test of the manufacturer 23 Asian volunteers used a 5 ßWhite formula for 56 days twice a day and 87 reported a more uniform skin tone and 91 felt that their skin was brighter than beforeAs for research we found one study from 2016 that combined Oligopeptide68 with sunscreen and another skinlightening active called Diacetyl Boldine DAB The conclusion was that combination of DAB serum at night and DABTGFβ1 biomimetic oligopeptide68sunscreen cream in the morning and at noon was effective and safe for facial melasma They were superior to HQ in pigment reduction HQ refers to the famous Hydroquinone thats the goldstandard skinlightening ingredient so having comparable or superior results is a very promising outcome Overall if you are into skinlightening or fading pigmentation spots Oligopeptide68 might be something to try
555,Olive Oil Glycereth-8 Esters,https://incidecoder.com//ingredients/olive-oil-glycereth-8-esters,An olive oil derived ingredient modified to be waterdispersible while also keeping the original properties of olive oil While being an emollient it also has a very gentle cleansing action and can be used as a coemulsifier and enhancer in cleansing products
556,Olive Oil PEG-7 Esters,https://incidecoder.com//ingredients/olive-oil-peg-7-esters,An olive oilderived watersoluble but oily liquid that works both as an emollient makes skin nice and smooth and as a coemulsifierIts claimed to offer a distinctive skin smoothness and longterm moisturizing effects while also being great at solubilizing fragrances into waterbased products or being a coemulsifier in oilinwater emulsions
557,Onsen-Sui,https://incidecoder.com//ingredients/onsen-sui,Hot spring water from Japan Its claimed to have some antiinflammatory and vasodilative effect
558,Opuntia Ficus-Indica Extract,https://incidecoder.com//ingredients/opuntia-ficus-indica-extract,"Prickly pear is a cactus that’s native to Mexico It has large sweet fruit that’s called tunas and has been used as a source of food since preHispanic Mexico Currently jams and jellies are produced from it and also a traditional Mexican alcoholic drink called colonche
But what is it doing in our skincare products Well according to swiss manufacturer Mibelle its two main properties are that it soothes and hydrates the skin And what’s more they have also created some nice test results both in vitro and in vivo in the lab tubes and on humans showing that Opuntia FicusIndica can protect skin cells against UV light And that’s still not all An American manufacturer has combined the ingredient with yeast extract and the two together helps to reduce neurosensory irritation caused by the application of topical products such as retinoids slow reaction alpha hydroxy acids fast reaction or preservatives which induce some type of irritation or inflammation
The bottom line though we could not really find independent published research we definitely think that Prickly Pear’s name sounds cool it’s a very promising ingredient that seems to have great soothing and protecting abilities"
559,Opuntia Ficus-Indica Fruit Extract,https://incidecoder.com//ingredients/opuntia-ficus-indica-fruit-extract,The extract of Prickly Pear a cactus that’s native to Mexico Its main unique thing is that it can reduce the neurosensory irritation caused by the application of topical products such as retinoids slow reaction or alpha hydroxy acids fast reaction We have a shiny description about Opuntia FicusIndica Extract here
560,Opuntia Ficus-Indica Seed Oil,https://incidecoder.com//ingredients/opuntia-ficus-indica-seed-oil,The emollient plant oil coming from the seeds of the cactus commonly called Prickly Pear or Nopal Fig It is a native to Mexico cactus with large sweet fruits that are used to create jam and jellies About 18–20 of the peeled fruits are seeds and the seeds contain only about 35 oil This means that the oil is rare and expensive as a ton of fruit and it is literally a ton is needed to yield 1 liter of it As for its composition its three main fatty acids are barrierrepairing linoleic 6070 nourishing oleic 926 and saturated fatty acid palmitic 818 It is also rich in antioxidant vitamin E 110mg100g and in antiinflammatory sterols betasitosterol campesterol As a highlinoleic oil it has a light skin feeling absorbs easily into the top layer of the skin and gives a velvety skin feel
561,Opuntia Ficus-Indica Stem Extract,https://incidecoder.com//ingredients/opuntia-ficus-indica-stem-extract,The extract derived from Prickly Pear a cactus native to Mexico It is wellknown for its soothing and hydrating properties Read our shiny explanation about Opuntia FicusIndica here
562,Ornithine,https://incidecoder.com//ingredients/ornithine,Ornithine is an amino acid that is the active ingredient in the skinplumping active trade named AdipofillIn According to the manufacturer AdipofillIn is able to increase fatty tissue volume by activating the transcription factor called HIF1α and thus it has a lipofillinglike effect through a noninvasive methodIt is supposed to be an especially useful active for deep wrinkles such as the nasolabial fold the wrinkle between the nose and mouth In their invivo test made with 20 volunteers using 2 AdipofillIn cream twice a day for 60 days the manufacturer measured up to 376 reduction of wrinkle depth and up to 275 reduction of skin roughness
563,Oryza Sativa Bran Oil,https://incidecoder.com//ingredients/oryza-sativa-bran-oil,The oil coming from the bran of rice Similar to many other emollient plant oils it contains several skingoodies nourishing and moisturizing fatty acids oleic acid 40 linoleic acid 30 linolenic acid12 antioxidant vitamin E emollient sterols and potent antioxidant gammaoryzanol
564,Oryzanol,https://incidecoder.com//ingredients/oryzanol,A biologically active component that can be found in rice bran oil It has natural antioxidant properties and can help to stabilize other unstable plant oils Interestingly it also seems to possess some natural sunscreen abilities
565,Ozokerite,https://incidecoder.com//ingredients/ozokerite,A hydrocarbon wax consisting mainly of saturated straight chain hydrocarbons with C1890 carbon chain length It has a high melting point 58100 C and it is used mainly in stick type products such as lip balms to keep the product nice and solid
566,P-Anisic Acid,https://incidecoder.com//ingredients/p-anisic-acid,Though the official function of PAnisic Acid is masking meaning that it helps to mask not so nice smells in the product according to manufacturer info it is rather used as a preservative It is a skin friendly organic acid that works against fungi
567,PEG-10 Dimethicone,https://incidecoder.com//ingredients/peg-10-dimethicone,A silicone emulsifier that helps water and silicone oils to mix nicely together It can also be used together with plant oil silicone oil mixtures
568,PEG-100 Stearate,https://incidecoder.com//ingredients/peg-100-stearate,A very common waterloving surfactant and emulsifier that helps to keep water and oil mixed nicely together Its often paired with glyceryl stearate the two together form a super effective emulsifier duo thats salt and acid tolerant and works over a wide pH range It also gives a pleasing product aesthetics so no wonder its popular
569,PEG-12 Dimethicone,https://incidecoder.com//ingredients/peg-12-dimethicone,A fluid silicone that reduces surface tension It can improve oil or silicone in water emulsions with faster absorption better spreading and a lighter feel
570,PEG-12 Dimethicone/​PPG-20 Crosspolymer,https://incidecoder.com//ingredients/peg-12-dimethicone-ppg-20-crosspolymer,"A highmolecular weight silicone elastomer gel a rubberlike elastic material that is usually combined with a silicone carrier fluid like Caprylyl Methicone The blend has a viscous gel texture gives smooth powdery nongreasy skin feel and great spreadability
Its also more compatible with natural vegetable oils than other silicone elastomer gels and works as a delivery aid both for oilloving eg sunscreens and waterloving vitamin C Aloe Vera Caffeine materials"
571,PEG-12 Glyceryl Dimyristate,https://incidecoder.com//ingredients/peg-12-glyceryl-dimyristate,A type of lipid that is used in liposome technology It has a special chemical structure a waterloving PEG head with two oilloving tails that allows forming thermodynamically stable liposomesThis means when Peg12 Glyceryl Dimyristate is mixed with water it forms tiny bilayered circles with an active ingredient in the middle of it spontaneously This is useful both for stabilizing unstable ingredients such as pure Vitamin C as well as for solubilizing difficult ingredients such as cholesterol
572,PEG-20 Glyceryl Triisostearate,https://incidecoder.com//ingredients/peg-20-glyceryl-triisostearate,A clear pale yellow liquid that works as a highly effective but mild surfactant According to the manufacturer Peg20 Glyceryl Triisostearate can create microemulsion facial cleansers microemulsions are a mixture of water oil and surfactants that are crystal clear gentle to the skin and can easily be rinsed off leaving no oily residue If you like oil cleansers but do not like to remove them with a washcloth look out for this ingredient to find the perfect emulsifiable waterrinsable oil cleanser
573,PEG-20 Methyl Glucose Sesquistearate,https://incidecoder.com//ingredients/peg-20-methyl-glucose-sesquistearate,A mild waterloving emulsifier thats safe for sensitive skin or eyecare formulations It helps to create low viscosity oilinwater emulsions ideal for milks serums and sprayable formulations Its derived from natural sources and gives a light satiny afterfeel
574,PEG-30 Dipolyhydroxystearate,https://incidecoder.com//ingredients/peg-30-dipolyhydroxystearate,PEG30 Dipolyhydroxystearate is a popular waterinoil wo emulsifier meaning that it helps the oily and watery parts of the formula to mix in a way where water droplets are dispersed in the continuous oil phase and not the other way round Compared to the more commonly used oilinwater ow emulsions wo emulsions tend to be heavier and less cosmetically elegant but PEG30 Dipolyhydroxystearate is claimed to help with this and enables a light and elegant skin feel It also has a molecular structure that creates large anchors both in the water and in the oil phase making the resulting emulsion not only cosmetically elegant but also very stable
575,PEG-40 Hydrogenated Castor Oil,https://incidecoder.com//ingredients/peg-40-hydrogenated-castor-oil,A mildly viscous ambercolored liquid with fatty odor made from Castor Oil and polyethylene glycol PEGIf it were a person we’d say it’s agile diligent multifunctional It’s mostly used as an emulsifier and surfactant but most often it is used to solubilize fragrances into waterbased formulas
576,PEG-40 Stearate,https://incidecoder.com//ingredients/peg-40-stearate,A common waterloving surfactant and emulsifier that helps to keep water and oil mixed nicely together
577,PEG-6,https://incidecoder.com//ingredients/peg-6,A clear viscous polymer a molecule from repeated subunits liquid that works as a solvent and humectantAccording to manufacturer info its recommended for all kinds of washing products like hand dishwashing detergents or finefabric washing powders and is ideal as a viscosity regulator detergent booster and solubilizer
578,PEG-6 Caprylic/​Capric Glycerides,https://incidecoder.com//ingredients/peg-6-caprylic-capric-glycerides,A waterloving liquid thats clearly soluble in aqueous surfactant solutions can solubilize oils and oilsoluble ingredients and has a nice skin feel Its a popular ingredient in micellar cleansing waters
579,PEG-60 Hydrogenated Castor Oil,https://incidecoder.com//ingredients/peg-60-hydrogenated-castor-oil,A castor oil derived white lardlike helper ingredient that is used as a solubilizer to put fragrances those are oil loving things into waterbased products such as toners
580,PEG-7 Glyceryl Cocoate,https://incidecoder.com//ingredients/peg-7-glyceryl-cocoate,A clear light yellow waterloving oil that comes from coconutpalm kernel oil and glycerin Its a mild cleansing agent popular in baby washes and sensitive skin formulasIts also a socalled solubilizer that helps to dissolve oils and oilsoluble ingredients egessential oils or salicylic acid in waterbased formulas
581,PEG-75,https://incidecoder.com//ingredients/peg-75,A little helper ingredient that gives the formula a good slip and helps to solubilize other ingredients It also has binding softening and moisturizing properties Comes in the form of watersoluble white powder
582,PEG-8,https://incidecoder.com//ingredients/peg-8,A smallish polymer molecule created from repeated units of Polyethylene glycol aka PEG thats used as a solubilizer and viscosity control agentIt is a clear colorless liquid that is watersoluble and waterbinding aka humectant and can help to solubilize sparinglywater soluble things eg vanilla perfumes into waterbased formulas Thanks to its waterbinding ability it also prevents the drying out of formulas especially when combined with the fellow hygroscopic agent sorbitol
583,PEG-8 Dimethicone,https://incidecoder.com//ingredients/peg-8-dimethicone,A watersoluble silicone silicones are normally oil soluble that makes your skin nice and smooth aka emollient and improves cushion texture and slip in the formula
584,PEG-9 Polydimethylsiloxyethyl Dimethicone,https://incidecoder.com//ingredients/peg-9-polydimethylsiloxyethyl-dimethicone,A silicone emulsifier that helps water to mix nicely with silicone oils aka waterinsilicone emulsifier
585,PEG/​PPG-17/​6 Copolymer,https://incidecoder.com//ingredients/peg-ppg-17-6-copolymer,A waterloving emollient and humectant that gives a nice skin feel and slip to the product It works well with facial toners
586,PEG/​PPG-18/​18 Dimethicone,https://incidecoder.com//ingredients/peg-ppg-18-18-dimethicone,A silicone emulsifier that helps to create water in silicone emulsions
587,PEG/​PPG/​Polybutylene Glycol-8/​5/​3 Glycerin,https://incidecoder.com//ingredients/peg-ppg-polybutylene-glycol-8-5-3-glycerin,"A glycerin derived synthetic oily liquid that is also water soluble and works as a great skin moisturizer Its moisturizing ability is comparable to glycerin itself and the two together work in synergy to give skin superb hydration It is also cosmetically elegant ie nonsticky and nongreasy
It can also work as a cosurfactant helping to dissolve small amounts of oily things think essential oils or vitamin E into waterbased formulas"
